WKT,nama,deskripsi
"POINT (106.8242238 -6.1753389)",Taman Air Mancur Pesona Monas,
"POLYGON ((106.8235586 -6.1715416, 106.823387 -6.1729496, 106.8234728 -6.1738882, 106.8231295 -6.1746562, 106.8231724 -6.1775575, 106.8229578 -6.1793922, 106.8238161 -6.1805442, 106.8260477 -6.1802882, 106.8308542 -6.1800748, 106.8309401 -6.1795628, 106.8303822 -6.1789229, 106.8304251 -6.1784109, 106.8297384 -6.1776429, 106.8300817 -6.1763629, 106.8299959 -6.1737602, 106.8290518 -6.1729069, 106.8293093 -6.1719256, 106.8289659 -6.1714989, 106.8235586 -6.1715416))",Poligon Taman Monas,
