WKT,nama,deskripsi
"POINT (106.8261918 -6.309397799999999)",Kebun Binatang Ragunan,
"POLYGON ((106.8264818 -6.3084891, 106.8269485 -6.3085371, 106.8269861 -6.3082971, 106.826927 -6.3082758, 106.8269539 -6.3079985, 106.8267929 -6.3079879, 106.8267608 -6.3081905, 106.826691 -6.3082011, 106.8265945 -6.3083291, 106.8264925 -6.3083664, 106.8264818 -6.3084891))",Poligon Kebun Binatang Ragunan,
