WKT,nama,deskripsi
"POINT (106.7942405 -6.4024844)",Depok,
"POLYGON ((106.7754793 -6.3174307, 106.7677783 -6.3557726, 106.7361926 -6.4219635, 106.7389392 -6.4813234, 106.7739581 -6.5072485, 106.9099139 -6.4369747, 106.9210481 -6.3263028, 106.7754793 -6.3174307))",Poligon Kota Depok,
