WKT,nama,deskripsi
"POINT (106.8898924 -6.302038599999999)",Taman Mini Indonesia Indah,
"POLYGON ((106.8799285 -6.2900794, 106.8833617 -6.2980135, 106.8840483 -6.3019379, 106.8866233 -6.3048385, 106.8955496 -6.3065447, 106.91057 -6.3059475, 106.9097332 -6.2993785, 106.9050339 -6.297587, 106.8949864 -6.296476, 106.8897508 -6.2927223, 106.8799285 -6.2900794))",Poligon Taman Mini ,
